No,Crypto,Close,Volume,Market Cap,Return,Volatility
1,Bitcoin,94281.320227,51449395902.44,1880631689307.51,-0.000721,0.02204
2,Ethereum,3030.418501,27816779142.34,365737829815.74,-2.4e-05,0.035096
3,Tether USDt,0.999887,103972688398.98,177772206674.71,-5e-06,0.000274
4,XRP,2.123261,4242113255.83,127618681922.74,-0.000722,0.035351
5,BNB,794.910121,2453650389.15,109646007780.19,0.000577,0.027477
6,Solana,142.396166,5287659313.22,78093814510.83,-0.00076,0.03716
7,USDC,0.999865,15569196564.92,71919134435.17,-1e-06,0.000154
8,TRON,0.305499,772134816.43,28942429870.66,0.00103,0.015088
9,Lido Staked ETH,2972.246291,42080326.67,26490308664.97,0.000934,0.036484
10,Dogecoin,0.161767,1906292342.27,25009521143.42,-0.000459,0.04344
11,Wrapped TRON,0.305316,1534724.52,24330742424.21,0.001028,0.015068
12,Cardano,0.525203,900711353.45,18754497529.26,-0.001936,0.039805
13,Lido wstETH,3618.870822,12564476.19,12491148785.69,0.000987,0.035952
14,Wrapped Bitcoin,94871.841294,286153299.54,11912336739.37,-0.000397,0.02157
15,Hyperliquid,37.790528,377125620.37,11694060213.1,0.004649,0.050199
16,Bitcoin Cash,505.742254,413634310.54,10090731931.09,0.000136,0.034776
17,WETH,2975.051962,1379451219.42,10041678162.4,0.000925,0.036236
18,WETH,2975.051962,1379451219.42,10041678162.4,0.000925,0.036236
19,Wrapped Beacon ETH,3216.630395,16021839.77,10016371782.16,0.00101,0.036781
20,Chainlink,14.350932,709265439.06,9877764979.88,-0.000345,0.040987
21,USDS,0.999786,34583543.99,8987477930.66,2e-06,0.000675
22,UNUS SED LEO,9.271014,1863522.27,8549064977.63,0.000634,0.0262
23,Stellar,0.263336,273012017.82,8407308958.71,0.000733,0.043616
24,Wrapped eETH,3209.257412,9203216.03,8021303492.61,0.001006,0.036274
25,Sui,2.24021,974790666.15,8017294981.68,-0.002302,0.048483
26,Ethena USDe,0.999844,185913420.16,7398179824.72,-2e-06,0.000322
27,Avalanche,16.856188,485233475.03,7164407643.2,-0.001322,0.041782
28,Hedera,0.154359,232663868.13,6570735382.09,-0.000795,0.041765
29,Monero,353.571409,129912712.28,6522246358.22,0.00161,0.04059
30,Litecoin,83.219772,544845106.78,6360353896.52,-0.000665,0.034007
31,Shiba Inu,1e-05,179411288.72,5687124992.72,-0.00159,0.036027
32,Aave Ethereum USDT,0.999877,21347552.6,5436918928.52,-1e-06,0.000743
33,Dai,0.999836,6640671785.84,5364508434.55,-1e-06,0.000159
34,Canton,0.137345,34685068.13,5168674657.36,0.002976,0.058097
35,Polkadot,2.749691,231746717.16,4455651635.86,-0.002146,0.045147
36,Cronos,0.113968,47202109.25,4053819750.05,0.000213,0.044165
37,Zcash,243.786202,517443593.23,4019052006.41,0.009865,0.077869
38,Uniswap,6.144661,345210272.73,3878114807.44,2e-06,0.05424
39,Ethena Staked USDe,1.202947,14407191.62,3826471224.36,0.000132,0.000561
40,World Liberty Financial,0.130725,240641617.32,3480059339.83,-0.003652,0.05193
41,Bitget Token,3.70434,102568000.21,3278832355.93,-0.00151,0.026038
42,World Liberty Financial USD,0.999747,922059985.52,3212443505.65,-4e-06,0.000493
43,Mantle,0.959817,193316557.86,3153506683.87,0.001016,0.05063
44,Bittensor,314.291155,213036995.67,3130240060.86,0.00037,0.051074
45,Pepe,7e-06,639765769.4,3033840405.89,-0.000854,0.056401
46,Aave,198.240156,393812841.01,3022007198.67,-0.000772,0.044699
47,OKB,100.41917,76502996.47,2650101248.26,0.003503,0.077323
48,PayPal USD,0.999647,91688441.27,2609859144.76,-1e-06,0.000192
49,Rain,0.007073,27646714.54,2583216878.97,0.034127,0.419818
50,NEAR Protocol,2.03292,240774287.64,2557615261.83,0.001075,0.051648
51,Pi,0.314824,63718539.43,2548506849.52,-0.002166,0.050557
52,Ethereum Classic,14.507498,110455750.12,2232494509.42,-0.001046,0.038925
53,MemeCore,1.807714,27747050.9,2180308577.0,0.017987,0.117564
54,Ethena,0.313275,320290715.32,2176044677.58,-0.001311,0.061641
55,Internet Computer,3.95035,120132140.69,2135010088.39,7.3e-05,0.056571
56,Jito Staked SOL,175.964934,24115212.48,2118385636.35,-0.000593,0.037123
57,Ondo,0.612962,133604825.53,2104593889.9,-0.001304,0.046507
58,Aptos,2.921926,144098774.78,2015029369.1,-0.00332,0.046342
59,Aster,0.881808,425532097.22,1978643611.98,0.006176,0.095166
60,Polygon (prev. MATIC),0.16547,121512065.42,1739570985.34,-0.00157,0.039379
61,BFUSD,0.999283,10230318.54,1671185682.66,-6e-06,0.000321
62,Tether Gold,4093.572007,1570287577.33,1624066640.3,0.000873,0.013712
63,syrupUSDC,1.13691,32520317.7,1607724036.02,0.00016,0.000624
64,Kaspa,0.060158,48723697.62,1607182530.38,-0.001616,0.04525
65,Worldcoin,0.746081,214352118.74,1573647234.18,-0.000817,0.065361
66,Jupiter Perps LP,4.577244,29432055.32,1555338237.78,1e-06,0.019579
67,PAX Gold,4104.761565,235151011.5,1520150807.22,0.000887,0.014139
68,Sky,0.069459,17091360.74,1466749605.82,0.000935,0.039521
69,Falcon USD,0.99832,9750577.77,1453902100.58,-1.2e-05,0.000723
70,Arbitrum,0.272096,214076102.29,1453484384.46,-0.001544,0.052264
71,Algorand,0.1653,74415088.11,1447461938.41,-0.000502,0.043892
72,Binance Staked SOL,153.403041,5629678.1,1428025911.79,-0.000589,0.037514
73,KuCoin Token,10.970128,5773213.88,1419054704.51,-0.000471,0.024437
74,Cosmos,3.142841,91954441.53,1413658516.09,-0.001329,0.037024
75,Kelp DAO Restaked ETH,3126.091812,147368.16,1402820305.54,0.001054,0.038059
76,VeChain,0.016128,37800448.84,1386754486.44,-0.002905,0.040483
77,Render,2.667425,71377746.41,1382675486.1,-0.000545,0.05215
78,GateToken,12.740327,8726047.43,1371679409.18,-0.002574,0.022635
79,OFFICIAL TRUMP,6.6193,389394758.85,1353411072.61,-0.003726,0.043942
80,Rocket Pool ETH,3411.540239,2495472.9,1316438762.6,0.000988,0.03607
81,Filecoin,1.772352,183053699.84,1247906492.74,-0.001035,0.062213
82,Lombard Staked BTC,94998.428361,2836919.7,1247045549.45,-0.000381,0.021318
83,Global Dollar,0.999857,23003977.9,1169122271.89,-0.0,0.000213
84,Bonk,1.4e-05,246486039.34,1136542481.12,-0.001576,0.05868
85,Flare,0.014988,8794531.56,1125059315.98,-0.001579,0.034019
86,Wrapped Flare,0.013135,0.0,1096661276.98,0.111698,0.882835
87,Pump.fun,0.00307,252433793.1,1071710417.63,-0.001953,0.071991
88,Story,3.461063,78379622.73,1070904579.78,-0.002957,0.071835
89,Quant,87.675771,19907989.52,1058482964.73,0.000657,0.039228
